                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                       LANGUAGE COUNT SUMMARY                                       
                              Generated by UCC v.2015.12 on 9 19 2016                              
                                   UCC -dir src *.cpp -outdir Ass                                   

Language,Number,Physical,Logical
Name,of Files,SLOC,SLOC
C_CPP,51,38053,28300

Total,51,38053,28300
