                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                      COMPLEXITY COUNT RESULTS                                      
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,L1-Loops,L2-Loops,L3-Loops,L4-Loops,L5-Loops,File Name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//Makefile
0,0,0,0,0,0,0,2,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//mindstorms.py
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//play.html
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//sendmessage.py
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//shopping_list.html
0,0,0,5,0,0,0,8,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//shoppinglist/main.py
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//shoppinglist/templates2/basic.html
0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//shoppinglist/templates2/shopping_list.html
0,0,0,98,91,81,1,185,50,4,1,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.cpp
0,0,0,0,0,0,4,2,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.h
0,0,0,23,36,63,1,100,12,3,2,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.cpp
0,0,0,0,0,0,4,1,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.h
0,0,0,91,97,111,1,223,28,6,5,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.cpp
0,0,0,0,0,0,4,1,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.h
0,0,0,73,94,113,20,292,64,6,8,1,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.cpp
0,0,0,0,0,0,4,1,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.h
0,0,0,4,12,6,4,110,0,1,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.cpp
0,0,0,0,0,1,28,6,0,0,0,0,0,0,/Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.h
