                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2015.12 on 9 12 2016                              
             UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/" -ascii             

New             | Deleted         | Modified        | Unmodified      | Module         
Lines           | Lines           | Lines           | Lines           | Name           
------------------------------------------------------------------------------------------------------------------------
0               | 0               | 0               | 395             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.cpp
0               | 0               | 0               | 14              | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CAdaCounter.h
0               | 0               | 0               | 115             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.cpp
0               | 0               | 0               | 14              | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CAssemblyCounter.h
0               | 0               | 0               | 343             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.cpp
0               | 0               | 0               | 13              | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CBashCounter.h
0               | 0               | 0               | 553             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.cpp
0               | 0               | 0               | 14              | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CBatchCounter.h
0               | 0               | 0               | 170             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.cpp
0               | 0               | 0               | 120             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/cc_main.h
0               | 0               | 0               | 187             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCCounter.cpp
0               | 0               | 0               | 8               | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCCounter.h
0               | 0               | 0               | 361             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCFScriptCounter.cpp
0               | 0               | 0               | 11              | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCFScriptCounter.h
0               | 0               | 0               | 425             | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCJavaCsScalaCounter.cpp
0               | 0               | 0               | 12              | /Users/rishabhsharma/Downloads/GENERAL UCC//src/CCJavaCsScalaCounter.h
