                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                      COMPLEXITY COUNT RESULTS                                      
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,L1-Loops,L2-Loops,L3-Loops,L4-Loops,L5-Loops,File Name
0,0,0,0,0,0,4,2,0,0,0,0,0,0,src/CVbCounter.h
0,0,0,5,7,5,2,26,8,1,2,0,0,0,src/CVbscriptCounter.cpp
0,0,0,0,0,0,4,0,0,0,0,0,0,0,src/CVbscriptCounter.h
0,0,0,182,169,194,2,413,109,5,4,1,0,0,src/CVerilogCounter.cpp
0,0,0,0,0,0,5,2,0,0,0,0,0,0,src/CVerilogCounter.h
0,0,0,211,280,323,2,582,160,7,3,2,0,0,src/CVHDLCounter.cpp
0,0,0,0,0,0,4,1,0,0,0,0,0,0,src/CVHDLCounter.h
0,0,0,232,237,368,5,341,19,10,2,1,0,0,src/CWebCounter.cpp
0,0,0,1,0,0,4,4,0,0,0,0,0,0,src/CWebCounter.h
0,0,0,0,0,0,1,2,0,0,0,0,0,0,src/CXMidasCounter.cpp
0,0,0,0,0,0,4,0,0,0,0,0,0,0,src/CXMidasCounter.h
0,0,0,0,0,0,1,2,0,0,0,0,0,0,src/CXmlCounter.cpp
0,0,0,0,0,0,4,0,0,0,0,0,0,0,src/CXmlCounter.h
0,0,0,318,239,551,46,402,122,33,8,1,0,0,src/DiffTool.cpp
0,0,0,7,0,7,20,5,0,0,0,0,0,0,src/DiffTool.h
0,0,0,94,103,106,9,310,202,13,3,1,0,0,src/LangUtils.cpp
0,0,0,8,0,0,42,9,0,0,0,0,0,0,src/LangUtils.h
0,0,0,30,21,19,30,85,0,1,0,0,0,0,src/main.cpp
0,0,0,445,394,313,99,739,93,14,7,3,1,0,src/MainObject.cpp
0,0,0,5,2,3,11,43,0,2,0,0,0,0,src/MainObject.h
0,0,0,2,5,11,16,13,0,3,0,0,0,0,src/sema.h
0,0,0,0,0,0,11,0,0,0,0,0,0,0,src/UCCAfterLibraryIncludes.h
0,0,0,0,0,0,6,0,0,0,0,0,0,0,src/UCCBeforeLibraryIncludes.h
0,0,0,169,146,85,55,265,30,3,3,0,0,0,src/UCCExceptDump.cpp
0,0,0,3,2,1,25,13,0,0,0,0,0,0,src/UCCExceptDump.h
0,0,0,7396,1365,9868,24,1830,2007,30,39,7,0,0,src/UCCFilesOut.cpp
0,0,0,2,2,2,14,49,0,2,0,0,0,0,src/UCCFilesOut.h
0,0,0,0,0,0,6,28,0,0,0,0,0,0,src/UCCGlobals.cpp
0,0,0,0,0,0,12,0,0,0,0,0,0,0,src/UCCGlobals.h
