                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                  SOURCE CODE DIFFERENTIAL RESULTS                                  
                              Generated by UCC v.2015.12 on 9 12 2016                              
                UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/"                

New Lines,Deleted Lines,Modified Lines,Unmodified Lines,Modification Type,Language,Module A,Module B
0,0,0,95,Unmod,"C_CPP","src/CMakefileCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMakefileCounter.cpp"
0,0,0,11,Unmod,"C_CPP","src/CMakefileCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMakefileCounter.h"
0,0,0,320,Unmod,"C_CPP","src/CMatlabCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMatlabCounter.cpp"
0,0,0,12,Unmod,"C_CPP","src/CMatlabCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMatlabCounter.h"
0,0,0,251,Unmod,"C_CPP","src/CMidasCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMidasCounter.cpp"
0,0,0,11,Unmod,"C_CPP","src/CMidasCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CMidasCounter.h"
0,0,0,216,Unmod,"C_CPP","src/CmpMngr.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngr.cpp"
0,0,0,36,Unmod,"C_CPP","src/CmpMngr.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngr.h"
0,0,1,136,Mod,"C_CPP","src/CmpMngrHtml.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngrHtml.cpp"
0,0,0,60,Unmod,"C_CPP","src/CmpMngrHtml.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngrHtml.h"
0,0,0,20,Unmod,"C_CPP","src/CNeXtMidasCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CNeXtMidasCounter.cpp"
0,0,0,8,Unmod,"C_CPP","src/CNeXtMidasCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CNeXtMidasCounter.h"
0,0,0,671,Unmod,"C_CPP","src/CPascalCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPascalCounter.cpp"
0,0,0,14,Unmod,"C_CPP","src/CPascalCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPascalCounter.h"
0,0,0,543,Unmod,"C_CPP","src/CPerlCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPerlCounter.cpp"
0,0,0,14,Unmod,"C_CPP","src/CPerlCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPerlCounter.h"
0,0,0,491,Unmod,"C_CPP","src/CPhpCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPhpCounter.cpp"
0,0,0,13,Unmod,"C_CPP","src/CPhpCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPhpCounter.h"
0,0,0,585,Unmod,"C_CPP","src/CPythonCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPythonCounter.cpp"
0,0,0,18,Unmod,"C_CPP","src/CPythonCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CPythonCounter.h"
0,0,0,355,Unmod,"C_CPP","src/CRubyCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CRubyCounter.cpp"
0,0,0,13,Unmod,"C_CPP","src/CRubyCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CRubyCounter.h"
0,0,0,400,Unmod,"C_CPP","src/CScalaCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CScalaCounter.cpp"
0,0,0,12,Unmod,"C_CPP","src/CScalaCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CScalaCounter.h"
0,0,0,558,Unmod,"C_CPP","src/CSqlCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CSqlCounter.cpp"
0,0,0,15,Unmod,"C_CPP","src/CSqlCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CSqlCounter.h"
0,0,0,168,Unmod,"C_CPP","src/CTagCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CTagCounter.cpp"
0,0,0,13,Unmod,"C_CPP","src/CTagCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CTagCounter.h"
7,1,21,945,Mod,"C_CPP","src/CUtil.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CUtil.cpp"
0,3,1,70,Mod,"C_CPP","src/CUtil.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CUtil.h"
0,0,0,389,Unmod,"C_CPP","src/CVbCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbCounter.cpp"
0,0,0,12,Unmod,"C_CPP","src/CVbCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbCounter.h"
0,0,0,57,Unmod,"C_CPP","src/CVbscriptCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbscriptCounter.cpp"
0,0,0,37,Unmod,"C_CPP","src/CVbscriptCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbscriptCounter.h"
0,0,0,779,Unmod,"C_CPP","src/CVerilogCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVerilogCounter.cpp"
0,0,0,15,Unmod,"C_CPP","src/CVerilogCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVerilogCounter.h"
0,0,0,980,Unmod,"C_CPP","src/CVHDLCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVHDLCounter.cpp"
0,0,0,22,Unmod,"C_CPP","src/CVHDLCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CVHDLCounter.h"
0,0,0,685,Unmod,"C_CPP","src/CWebCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CWebCounter.cpp"
0,0,0,68,Unmod,"C_CPP","src/CWebCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CWebCounter.h"
0,0,0,38,Unmod,"C_CPP","src/CXMidasCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXMidasCounter.cpp"
0,0,0,8,Unmod,"C_CPP","src/CXMidasCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXMidasCounter.h"
0,0,0,7,Unmod,"C_CPP","src/CXmlCounter.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXmlCounter.cpp"
0,0,0,8,Unmod,"C_CPP","src/CXmlCounter.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/CXmlCounter.h"
0,0,1,915,Mod,"C_CPP","src/DiffTool.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/DiffTool.cpp"
0,0,0,71,Unmod,"C_CPP","src/DiffTool.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/DiffTool.h"
0,0,0,489,Unmod,"C_CPP","src/LangUtils.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/LangUtils.cpp"
0,0,0,67,Unmod,"C_CPP","src/LangUtils.h","/Users/rishabhsharma/Downloads/GENERAL UCC//src/LangUtils.h"
6,1,2,175,Mod,"C_CPP","src/main.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/main.cpp"
6,0,3,1169,Mod,"C_CPP","src/MainObject.cpp","/Users/rishabhsharma/Downloads/GENERAL UCC//src/MainObject.cpp"
