                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 9 12 2016                              
             UCC -d -t 30 -dir src "/Users/rishabhsharma/Downloads/GENERAL UCC/" -ascii             

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
        64        77        57     12.80    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CMatlabCounter.cpp
        56        65        56     14.00    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CMidasCounter.cpp
        62        71        62      5.17    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngr.cpp
        40        43        36      3.33    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CmpMngrHtml.cpp
         1         1         1      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CNeXtMidasCounter.cpp
       150       185       147     21.43    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CPascalCounter.cpp
       138       187       138     19.71    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CPerlCounter.cpp
       108       148       103     21.60    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CPhpCounter.cpp
       128       159       120     16.00    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CPythonCounter.cpp
        76       112        74     15.20    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CRubyCounter.cpp
        98       138        94     19.60    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CScalaCounter.cpp
       119       135       119     23.80    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CSqlCounter.cpp
        52        67        52     13.00    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CTagCounter.cpp
       289       342       287      6.28    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CUtil.cpp
        57        63        57     14.25    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbCounter.cpp
        15        15        15      1.67    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CVbscriptCounter.cpp
       147       210       145     21.00    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CVerilogCounter.cpp
       230       324       224     23.00    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CVHDLCounter.cpp
       174       186       145     19.33    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CWebCounter.cpp
         1         1         1      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CXMidasCounter.cpp
         1         1         1      1.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/CXmlCounter.cpp
       201       248       201     22.33    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/DiffTool.cpp
        90        92        79      6.43    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/LangUtils.cpp
        30        34        30     30.00    High        |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/main.cpp
       249       279       249     15.56    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/MainObject.cpp
       113       127        92      8.07    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCExceptDump.cpp
       917      1065       873     61.13    Very High   |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCFilesOut.cpp
       398       461       398     17.30    Medium      |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/UCCThread.cpp
        50        56        50      4.17    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//src/UserIF.cpp
        58        59        58      3.41    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/listtest.c
        28        28        28      2.00    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/my402list.c
        65        72        62      4.33    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup1/warmup1.c
        49        52        43      3.27    Low         |   /Users/rishabhsharma/Downloads/GENERAL UCC//Summer2016/Projects/warmup2/warmup2.c
--------------------------------------------------------+-----------------------
      8641     10318      8237              Totals      |   607  Functions in  79  File(s)
     14.24     17.00     13.57              Averages    |   7.7  Functions per File   (Averages = Totals/Functions)

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
       CC1          CC2          CC3   Risk        Function Name                                                  |   File Name
------------------------------------------------------------------------------------------------------------------+-----------------------
         1            1          N/A   Low         main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC// hello-world/main.py
         2            2          N/A   Low         main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//breakTime.py
         1            1          N/A   Low         main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//engineapp/main.py
         1            1            1   Low         main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF.html
         1            1            1   Low         var trackOutboundLink                                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF.html
        63           72           63   Very High   main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        11           14           11   Medium      ""+M.location.hostname;return 0                                |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        10           11           10   Low         a.length&&                                                     |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
         7           10            7   Low         e.open                                                         |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
         3            3            3   Low         Pa                                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
         5            7            5   Low         Hc                                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        12           13           12   Medium      $b                                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
         4            6            4   Low                                                                        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
         6            6            6   Low         Dc.prototype.S                                                 |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        13           20           13   Medium      d                                                              |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        17           27           17   Medium      Kc                                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
         7           12            7   Low         a.set                                                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
         9           12            9   Low         var u                                                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        10           15           10   Low         ae                                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        12           13           12   Medium      Z.v                                                            |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
         8           10            8   Low         N.N                                                            |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/analytics.js
        57           57           57   Very High   main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/compatibility.js
         4            4            4   Low         window.Uint8Array                                              |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/compatibility.js
        57           58           56   Very High   main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/debugger.js
         4            5            4   Low         var moreInfo                                                   |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/debugger.js
         1            1            1   Low         main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/jquery.min.js
       106          118          106   Very High   main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
         1            1            1   Low         '$$$$$$$$$$';document.webL10n                                  |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
         4            4            4   Low         getL10nAttributes                                              |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
         2            2            2   Low         xhrLoadText                                                    |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
         7            8            7   Low         parseProperties                                                |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
         8            8            8   Low         callback                                                       |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
         1            1            1   Low         clear                                                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/l10n.js
       554          564          473   Very High   main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         2            2            2   Low         if                                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         2            2            2   Low         return Uint32ArrayView;})                                      |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         1            1            1   Low         createPromiseCapability                                        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         1            1            1   Low         StatTimer                                                      |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         6            6            6   Low         var buffer                                                     |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         4            4            4   Low         var promise                                                    |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         1            1            1   Low         this.setupFakeWorker                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         1            1            1   Low         var pageIndex                                                  |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         3            4            3   Low         PDFObjects_resolve                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         4            4            4   Low         var CachedCanvases                                             |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
        17           17            7   Medium      steps                                                          |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         2            2            2   Low         ctx.restore                                                    |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         7            7            7   Low         CanvasGraphics_paintSolidColorImageMask                        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         1            1            1   Low         $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$';var smaskCache   |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         1            1            1   Low         $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$';var figuresCache   |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         3            3            3   Low         names.push                                                     |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
         1            1            1   Low         SVGGraphics                                                    |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/pdf.js
        94          126           94   Very High   main                                                           |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service(1).js
       129          182          129   Very High   $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$'<iframe src        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service(1).js
       158          191          143   Very High   this.history.length>3&&this.history.pop                        |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service(1).js
       117          154          117   Very High   e.port                                                         |   /Users/rishabhsharma/Downloads/GENERAL UCC//FT/Coding Questions Book/Cracking The Coding Interview 5th Edition PDF _ DropPDF_files/service(1).js
